"LOCATION","Country","MEASURE","Measure","AGE","Age group","DEFINITION","Definition","METHODO","Methodology","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.498,,
"AUT","Austria","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2011","2011","0_TO_1","0-1 scale","0","Units",,,0.498,,
"AUT","Austria","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","0_TO_1","0-1 scale","0","Units",,,0.496,,
"AUT","Austria","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.497,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2006","2006","0_TO_1","0-1 scale","0","Units",,,0.316,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2007","2007","0_TO_1","0-1 scale","0","Units",,,0.318,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2008","2008","0_TO_1","0-1 scale","0","Units",,,0.316,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.318,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.316,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","0_TO_1","0-1 scale","0","Units",,,0.314,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","0_TO_1","0-1 scale","0","Units",,,0.321,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.322,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2001","2001","0_TO_1","0-1 scale","0","Units",,,0.317,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2002","2002","0_TO_1","0-1 scale","0","Units",,,0.318,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2003","2003","0_TO_1","0-1 scale","0","Units",,,0.316,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","0_TO_1","0-1 scale","0","Units",,,0.322,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","0_TO_1","0-1 scale","0","Units",,,0.317,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","0_TO_1","0-1 scale","0","Units",,,0.317,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","0_TO_1","0-1 scale","0","Units",,,0.318,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","0_TO_1","0-1 scale","0","Units",,,0.321,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.32,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.319,,
"CAN","Canada","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2011","2011","0_TO_1","0-1 scale","0","Units",,,0.316,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2006","2006","0_TO_1","0-1 scale","0","Units",,,0.434,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2007","2007","0_TO_1","0-1 scale","0","Units",,,0.435,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2008","2008","0_TO_1","0-1 scale","0","Units",,,0.432,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.441,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.443,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","0_TO_1","0-1 scale","0","Units",,,0.436,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","0_TO_1","0-1 scale","0","Units",,,0.438,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.44,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2001","2001","0_TO_1","0-1 scale","0","Units",,,0.442,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2002","2002","0_TO_1","0-1 scale","0","Units",,,0.441,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2003","2003","0_TO_1","0-1 scale","0","Units",,,0.439,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","0_TO_1","0-1 scale","0","Units",,,0.443,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","0_TO_1","0-1 scale","0","Units",,,0.436,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","0_TO_1","0-1 scale","0","Units",,,0.436,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","0_TO_1","0-1 scale","0","Units",,,0.436,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","0_TO_1","0-1 scale","0","Units",,,0.438,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.444,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.447,,
"CAN","Canada","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2011","2011","0_TO_1","0-1 scale","0","Units",,,0.438,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2004","2004","0_TO_1","0-1 scale","0","Units",,,0.268,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2005","2005","0_TO_1","0-1 scale","0","Units",,,0.261,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2006","2006","0_TO_1","0-1 scale","0","Units",,,0.261,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2007","2007","0_TO_1","0-1 scale","0","Units",,,0.257,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2008","2008","0_TO_1","0-1 scale","0","Units",,,0.26,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.258,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.262,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","0_TO_1","0-1 scale","0","Units",,,0.259,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","0_TO_1","0-1 scale","0","Units",,,0.256,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.262,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2002","2002","0_TO_1","0-1 scale","0","Units",,,0.26,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","0_TO_1","0-1 scale","0","Units",,,0.269,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","0_TO_1","0-1 scale","0","Units",,,0.261,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","0_TO_1","0-1 scale","0","Units",,,0.261,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","0_TO_1","0-1 scale","0","Units",,,0.257,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","0_TO_1","0-1 scale","0","Units",,,0.26,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.258,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.258,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2011","2011","0_TO_1","0-1 scale","0","Units",,,0.256,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","0_TO_1","0-1 scale","0","Units",,,0.252,,
"CZE","Czech Republic","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.259,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2004","2004","0_TO_1","0-1 scale","0","Units",,,0.468,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2005","2005","0_TO_1","0-1 scale","0","Units",,,0.462,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2006","2006","0_TO_1","0-1 scale","0","Units",,,0.461,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2007","2007","0_TO_1","0-1 scale","0","Units",,,0.451,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2008","2008","0_TO_1","0-1 scale","0","Units",,,0.445,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.447,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.452,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","0_TO_1","0-1 scale","0","Units",,,0.458,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","0_TO_1","0-1 scale","0","Units",,,0.455,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.463,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2002","2002","0_TO_1","0-1 scale","0","Units",,,0.472,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","0_TO_1","0-1 scale","0","Units",,,0.471,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","0_TO_1","0-1 scale","0","Units",,,0.465,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","0_TO_1","0-1 scale","0","Units",,,0.466,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","0_TO_1","0-1 scale","0","Units",,,0.456,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","0_TO_1","0-1 scale","0","Units",,,0.45,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.451,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.454,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2011","2011","0_TO_1","0-1 scale","0","Units",,,0.461,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","0_TO_1","0-1 scale","0","Units",,,0.458,,
"CZE","Czech Republic","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.467,,
"DNK","Denmark","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","0_TO_1","0-1 scale","0","Units",,,0.251,,
"DNK","Denmark","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","0_TO_1","0-1 scale","0","Units",,,0.249,,
"DNK","Denmark","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.254,,
"DNK","Denmark","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","0_TO_1","0-1 scale","0","Units",,,0.232,,
"DNK","Denmark","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","0_TO_1","0-1 scale","0","Units",,,0.239,,
"DNK","Denmark","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","0_TO_1","0-1 scale","0","Units",,,0.246,,
"DNK","Denmark","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","0_TO_1","0-1 scale","0","Units",,,0.242,,
